CCSS ID,Standard Group,Grade Group,Category,OLO ID,OLO Description
K.RL.1,OLO.ELA,Elementary,Literary Text,,Identify key details in a literary text (e.g. stories and short plays.)
K.RL.1,OLO.ELA,Elementary,Literary Text,,"With prompting and support, ask and answer questions about key details in a literary text."
K.RL.2,OLO.ELA,Elementary,Literary Text,,"With prompting and support, retell familiar stories and include key details."
K.RL.3,OLO.ELA,Elementary,Literary Text,,With prompting and support identify characters a literary text.
K.RL.3,OLO.ELA,Elementary,Literary Text,,With prompting and support identify a setting in a story.
K.RL.3,OLO.ELA,Elementary,Literary Text,,"With prompting and support, identify major events from a story."
K.RL.4,OLO.ELA,Elementary,Literary Text,,Ask questions about unknown words in a story.
K.RL.4,OLO.ELA,Elementary,Literary Text,,Answer questions about previously unknown words in a story.
K.RL.5,OLO.ELA,Elementary,Literary Text,,Recognize common types of texts such as storybooks and poetry anthologies.
K.RL.6,OLO.ELA,Elementary,Literary Text,,"With prompting and support, name the author of a story and the role of the narrator in telling the story."
K.RL.6,OLO.ELA,Elementary,Literary Text,,"With prompting and support, name the illustrator of a story and the role of the pictures in telling the story."
K.RL.7,OLO.ELA,Elementary,Literary Text,,"With prompting and support, describe the relationship between a story and its illustrations."
K.RL.7,OLO.ELA,Elementary,Literary Text,,"With prompting and support, describe what moment of a story an illustration depicts."
K.RL.9,OLO.ELA,Elementary,Literary Text,,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
K.RL.10,OLO.ELA,Elementary,Literary Text,,Actively engage in group reading activities with purpose and understanding.
K.RI.1,OLO.ELA,Elementary,Expository Text,,"With prompting and support, ask questions about key details in an expository text (e.g. one that gives and explains information)."
K.RI.1,OLO.ELA,Elementary,Expository Text,,"With prompting and support, answer questions about key details and facts in an expository text."
K.RI.2,OLO.ELA,Elementary,Expository Text,,"With prompting and support, identify the main topic of an expository text."
K.RI.2,OLO.ELA,Elementary,Expository Text,,"With prompting and support, retell key details and facts found in an expository text."
K.RI.3,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the connection between two individuals in an expository text."
K.RI.3,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the connection between events in an expostiory text."
K.RI.3,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the connection between ideas in an expository text."
K.RI.3,OLO.ELA,Elementary,Expository Text,,"With prompting and support, describe the connection between two or more pieces of information in a text."
K.RI.4,OLO.ELA,Elementary,Expository Text,,"With prompting and support, ask questions about unknown words in an expository text."
,OLO.ELA,Elementary,Expository Text,,With prompting and support answer questions about recently learning words in an expository text.
