UUID,Alignments,Subject Group,,Grade Group,Category,OLO.ID,Description,Assessment Example,Resource Link,Notes
e4fc03c3-3fb1-48d7-81d6-9295255ac4f7,6.EE.1,OLO.Math,,Middle School,Exponents-MiddleSchool,OLO.EXPM.1,Write numerical expressions involving whole-number exponents,,,
9379821b-d0fa-4bef-ba3c-d8be5aecf57f,6.EE.1,OLO.Math,,Middle School,Exponents-MiddleSchool,OLO.EXPM.2,Evaluate numerical expressions involving whole-number exponents,,,
45c031f8-ef69-4322-bc96-0e07b4b96cfe,6.EE.2,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.1,Write expressions in which letters stand for numbers.,,,
e915ed59-08dd-4d6f-8253-729224d7eeb6,6.EE.2,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.2,Read expressions in which letters stand for numbers.,,,
f081e088-17e3-4fa5-b311-9ec6162a5386,6.EE.2,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.3,Evaluate expressions in which letters stand for numbers.,,,
2d60c384-c1cf-429d-a7d9-cb286a678b87,6.EE.2.a,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.4,"Write expressions that record operations with numbers and with letters standing for numbers. For example, express the calculation “Subtract y from 5” as 5 – y.",,,
05c4e289-6b24-4027-be2d-137ca0607fd7,6.EE.2.b,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.5,Identify parts of an expression using mathematical terms,,,
adaa2567-9c43-436a-8ede-6d34e4a493e2,6.EE.2.b,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.6,Be able to decompose expressions into separate parts,,,
0dfd74fc-e17a-4bbe-8aba-8d62696cf567,6.EE.2.c,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.7,Evaluate expressions with specific values,,,
536331fc-fd55-4890-8d04-cdf311d90508,6.EE.2.c,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.8,Evaluate expressions with the correct order of operations,,,
23e6a0f5-7148-4ae0-8cbf-c380e0847ec4,6.EE.3,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.9,Apply the properties of operations to generate equivalent expressions.,,,
42627ec1-a1a1-4151-89ca-4becc05e2952,6.EE.4,OLO.Math,,Middle School,Expressions and Equations,OLO.EE.10,Identify when two expressions are equivalent,,,
