UUID,CCSS,Standard Group,Human Readable,Grade Group,Category,OLO ID,OLO Description,
344ab51b-0ae6-4278-aa78-24cebc4948d8,4.MD.4,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.1,Solve problems involving addition of fractions by using information presented in line plots,"fractions, addition, line plot"
e8f4a51d-8aa3-46fb-8c99-80d3b70e3a0f,4.NF.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.3,"Add fractions with the same denominators, sum of numerators greater than or equal to denominator",
e21c0783-fbae-4068-abb9-382d7f7c0ba3,4.NF.3,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.4,"Add fractions with different denominators, sum of numerators less than denominator",
c1c8608b-0541-4d8f-99e9-0dbe1417eb8c,4.NF.3,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.5,"Add fractions with different denominators, sum of numerators greater than or equal to denominator",
87a11f08-06e3-410b-af97-33c0979608f9,4.NF.3.c,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.6,Add mixed numbers with like denominators,
9fcaa99b-3338-4f20-a36e-0968f6f89677,4.NF.3.c,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.7,Add mixed numbers with unlike denominators,
014a0698-64da-4fcb-8fc5-004357a84c0f,4.NF.3.a,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.2,"Add fractions with the same denominators, sum of numerators less than denominator using denominators up to 12 (for all)",
3b01d946-5549-464d-afa2-8fb669af13fd,4.NF.3.c,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.8,Convert an improper fraction to a mixed number,
6e35b51a-20e4-4bd1-b648-53dd25fddbf0,4.NF.3.c,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.9,Convert a mixed number to an improper fraction,
59a80888-aef6-42c3-885a-c4e26dbac1e3,5.NF.1,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.4,"Add fractions with different denominators, sum of numerators less than denominator",
0041210a-7bd7-4d48-8a88-1ee874adf937,5.NF.1,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.5,"Add fractions with different denominators, sum of numerators greater than or equal to denominator",
a4430f27-fa11-4ddd-8bd5-5d6fa2ae35af,5.NF.1,OLO.Math,Open Learning Objectives-Math,Elementary,Add fractions,OLO.AF.7,Add mixed numbers with unlike denominators,
9519661b-6ea4-467d-a360-7343a82d73e8,1.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.5,Add a 2-digit number and a multiple of 10,
9eab1d35-9d4c-48eb-a0cc-13d78bc46582,1.NBT.5,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.5,Add a 2-digit number and a multiple of 10,
944816cb-30e3-4688-8f2b-c11d2ddeefb3,1.OA.1,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.9,Solve single-step word problems with addition with sums less than 20,
9b1f012d-29c9-4c02-a782-f2f4c8685b28,1.OA.2,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.1,Add two 1-digit numbers with sum less than 20,
1647afdd-0764-4985-a3d8-7a4d0e9c4431,1.OA.6,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.1,Add two 1-digit numbers with sum less than 20,
ac5509e8-50aa-436c-99d5-916794cc68ec,2.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.4,"Add two 2-digit numbers, with carrying",
0a8b3125-febf-4191-a3f7-1f9eb750cbcf,2.NBT.5,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.2,"Add a 1-digit number and a 2-digit number, with carrying",
0d8992d8-9aa2-470c-8d4d-3070ca74e22a,2.NBT.5,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.5,Add a 2-digit number and a multiple of 10,
389adc1c-0ce7-4e02-b1cc-a9b1d780be8f,2.NBT.5,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.6,"Add two 2-digit numbers, without carrying",
2b8c333b-cb84-495c-a92c-b20e93cb5cc3,2.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.3,"Add four 2-digit numbers, with carrying",
1c170f2c-f9b2-4199-b35c-5c5721df98c8,2.NBT.6,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.6,"Add two 2-digit numbers, without carrying",
26d78f2f-65d4-48ca-a77f-845b25ae6dd5,2.NBT.7,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.8,"Add two 4-digit numbers, with carrying",
80d34aa1-e474-4797-aa7e-fb788dd87886,2.OA.1,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.9,Solve single-step word problems with addition with sums less than 20,
8998cde9-e654-40a2-8d2b-6460dafef170,2.OA.1,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.10,"Solve single-step word problems with addition with two 2-digit numbers, with carrying",
17df5cb6-5786-480c-99ed-63fff4278847,2.OA.2,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.1,Add two 1-digit numbers with sum less than 20,
80c5af6d-8199-46d0-9902-09f11d34d722,3.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.7,"Add two 3-digit numbers, with carrying",
df97a92e-79d9-4ab5-9e53-884f3d636722,3.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.7,"Add two 3-digit numbers, without carrying",
e1285484-1597-4214-acd0-b444dee76887,4.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.8,"Add two 4-digit numbers, with carrying",
fbb99c60-cf87-4840-a261-d2402b8d9d9e,4.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.3,Add 2-digit numbers,
f17395dd-0131-448c-8e69-a651a769224b,4.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.3,"Add four 2-digit numbers, with carrying",
626f3dbb-5f64-4ade-bdd5-e7adcba40bc8,4.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.5,Add a 2-digit number and a multiple of 10,
d84d118e-7ecc-40a1-b7bc-702bdc4b0443,4.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.6,"Add two 2-digit numbers, without carrying",
6d61e618-6d89-465f-8492-d30049356446,K.OA.5,OLO.Math,Open Learning Objectives-Math,Elementary,Addition,OLO.ADD.1,Add two 1-digit numbers with sum less than 20,
5465d25a-72dd-43b1-97e5-35e56ef66d85,4.MD.6,OLO.Math,Open Learning Objectives-Math,Elementary,Angles,OLO.ANG.1,Measure angles in whole-number degrees using a protractor,
d1c62170-86e9-4255-bcaf-925b7ce6a681,4.MD.6,OLO.Math,Open Learning Objectives-Math,Elementary,Angles,OLO.ANG.2,Sketch angles of specified measure,
fa7d9e83-4979-4317-ac37-c6b81f347bac,4.MD.7,OLO.Math,Open Learning Objectives-Math,Elementary,Angles,OLO.ANG.3,Solve addition and subtraction problems to find unknown angles on a diagram,
e374a9b3-42e0-4bf8-9981-053ec70aa01c,4.MD.7,OLO.Math,Open Learning Objectives-Math,Elementary,Angles,OLO.ANG.4,Solve word problems involving addition and subtraction to find unknown angles ,
af81e8fc-b5e5-4867-ba50-a37344c5e5aa,3.MD.3,OLO.Math,Open Learning Objectives-Math,Elementary,Area and Perimeter,OLO.AP.3,Calculate the perimeter of a rectangle,
8fee8af2-c6c0-4eb9-8eb3-44ca61336c4e,3.MD.6,OLO.Math,Open Learning Objectives-Math,Elementary,Area and Perimeter,OLO.AP.1,Calulate the area of a square,
9291664a-6e27-4dee-9c29-e76ac5ed6adc,3.MD.7.a,OLO.Math,Open Learning Objectives-Math,Elementary,Area and Perimeter,OLO.AP.2,Calculate the area of a rectangle,
1b766f09-c666-48ce-8550-5a08dfbbffe3,3.MD.8,OLO.Math,Open Learning Objectives-Math,Elementary,Area and Perimeter,OLO.AP.5,Calculate the perimeter of a square,
99144c6b-3d94-49dd-9625-0f772506b53a,4.MD.3,OLO.Math,Open Learning Objectives-Math,Elementary,Area and Perimeter,OLO.AP.4,Solve word problems with area and perimeter of squares and rectangles,
5a1b0876-03c6-471d-9cd6-5ecabe5cb2f2,5.NF.4.b,OLO.Math,Open Learning Objectives-Math,Elementary,Area and Perimeter,OLO.AP.6,Multiply fractional side lengths to find area of rectangles using denominators up to 12,
44c72789-4662-4cac-8f21-abb86f0ac9df,1.NBT.3,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.2,Compare two 2-digit numbers using comparison symbols,
58cc9d1d-967a-444f-a545-fa1170bace84,1.OA.7,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.3,Compare two 1-digit numbers using comparison symbols,
7acd655a-0738-419a-b184-f026b82bf83e,1.OA.7,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.4,Compare two algebraic expressions with 1-digit numbers using comparison symbols,
9765c517-ed58-4901-9831-491804f625c9,2.NBT.1,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.6,Compare the relative value of numbers based on place value,
1cc07569-d9bb-4d55-ae51-3129f05e55bd,2.NBT.4,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.5,Compare two 3-digit numbers using comparison symbols,
a2c137ce-66fd-423f-a8cd-2559063da78e,2.OA.3,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.7,Determine if numbers 0 - 20 are odd or even,
89bf94b1-3824-422f-9f32-37bc95edae92,4.NBT.1,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.6,Compare the relative value of numbers based on place value,
82c9cd02-0c5d-42d0-8101-d5425358fb14,4.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.2,Compare two 2-digit numbers using comparison symbols,
a7813b42-27c8-4d71-868f-82e4dc040c1c,4.NBT.2,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.6,Compare the relative value of numbers based on place value,
8684a08c-ca54-4310-b276-176bec3d247b,5.NBT.1,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.6,Compare the relative value of numbers based on place value,
eb6230da-f0ae-47ad-9597-6d6ec946ae08,5.NBT.3.b,OLO.Math,Open Learning Objectives-Math,Elementary,Comparison,OLO.CMP.6,Compare the relative value of numbers based on place value,
63284ddd-6f3a-473b-89a7-9e6a899f2055,3.MD.4,OLO.Math,Open Learning Objectives-Math,Elementary,Conversions,OLO.CNV.1,Solve word problems involving calculations with units of measurement,
ba753dab-0020-4b1f-9855-333d6459970a,4.MD.1,OLO.Math,Open Learning Objectives-Math,Elementary,Conversions,OLO.CNV.2,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec",
2b285d9f-3b6b-4377-a3f3-e5bf6d7b9331,5.MD.1,OLO.Math,Open Learning Objectives-Math,Elementary,Conversions,OLO.CNV.3,"Within a single system of measurement, convert between different sized units ",
89928ab7-4833-4878-92be-daa9e97692f3,5.MD.4,OLO.Math,Open Learning Objectives-Math,Elementary,Conversions,OLO.CNV.2,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec",
