Unique ID,England 'Year',Key Stage,England Strand,England Code,England Descriptor
5c36b792-403d-4d8e-9400-bba76cfd9b32,1,Key Stage 1,Number and Place Value,Ma1_2.1.a,"Count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number.  count, read and write numbers to 100 in numerals; count in multiples of 2s, 5s and 10s"
8d39e49c-ea72-4369-b84f-fe42a57fc4c5,1,Key Stage 1,Number and Place Value,Ma1_2.1.b,"Count, read and write numbers to 100 in numerals; count in multiples of 2s, 5s and 10s"
ef0736bb-8743-4503-b641-090d82fb9e39,1,Key Stage 1,Number and Place Value,Ma1_2.1.a ,"Count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number"
3331a37e-a43b-4ddd-a6eb-d1772c0800f9,1,Key Stage 1,Number and Place Value,Ma1_2.1.e,Read and write numbers from 1 to 20 in numerals and words.
146f2c13-3597-468d-a28b-ce00f5b4609d,1,Key Stage 1,Number and Place Value,Ma1_2.1.d ,"Identify and represent numbers using objects and pictorial representations including the number line, and use the language of: equal to, more than, less than (fewer), most, least"
75468264-7818-4177-83af-842cfd262be4,1,Key Stage 1,Number and Place Value,Ma1_2.1.c ,"Given a number, identify 1 more and 1 less"
8b368e68-36eb-4ae7-9ff2-a438a6454e01,1,Key Stage 1,Addition and Subtraction,Ma1_2.2.a ,"Read, write and interpret mathematical statements involving addition (+), subtraction (-) and equals (=) signs"
077bc172-1a99-427f-8c3c-b5738676ea6a,1,Key Stage 1,Addition and Subtraction,Ma1_2.2.d ,"Solve one-step problems that involve addition and subtraction, using concrete objects and pictorial representations, and missing number problems such as 7 = ? - 9."
625b4b2d-c40e-43c0-bca2-8b47fb6a2922,1,Key Stage 1,Addition and Subtraction,Ma1_2.2.b ,Represent and use number bonds and related subtraction facts within 20
680b9997-d7b0-4b9b-b9cd-1baa54fa922d,1,Key Stage 1,Addition and Subtraction,Ma1_2.2.c ,"Add and subtract one-digit and two-digit numbers to 20, including 0"
9c1cc133-457e-4672-9cef-58d690117171,1,Key Stage 1,Measurement,Ma1_3.1.a,"Compare, describe and solve practical problems for:lengths and heights [for example, long/short, longer/shorter, tall/short, double/hal] lengths and heights [for example, long/short, longer/shorter, tall/short, double/half], mass / weight, capacity and volume, time."
ca7dbc5e-7547-4eb4-954f-2ee5acad1453,1,Key Stage 1,Position and Direction,Ma1_3.3.a ,"Describe position, directions and movements, including whole, half, quarter and three-quarter turns."
2b0c8fa9-10f1-4633-8361-d01cc9e70d9c,1,Key Stage 1,Properties of Shapes,Ma1_3.2.a ,"Recognise and name common 2-D and 3-D shapes, including: 2-D shapes, 3-D shapes"
cdb2c1eb-17c9-49ae-946c-e892fc13a9e2,1,Key Stage 1,Properties of Shapes,Ma3_3.2.a,Draw 2-D shapes and make 3-D shapes using modelling materials; recognise 3-D shapes in different orientations and describe them.
1f1dd0b1-41eb-4793-9ac6-5c0cdaea4255,1,Key Stage 1,Measurement,Ma1_3.1.b,"Measure and begin to record the following: lengths and heights, mass/weight, capacity and volume, time (hours and minutes)"
52f56b9c-f2b5-44e7-809a-b7dbc7c84526,1,Key Stage 1,Measurement,Ma1_3.1.f,Tell the time to the hour and half past the hour and draw the hands on a clock face to show these times.
1fb6b73f-9a4d-4a49-9043-6eddf5f8e1fe,1,Key Stage 1,Measurement,Ma1_3.1.d,Sequence events in chronological order using language.
b00adb13-b632-4aa5-9331-8b97e810d3ce,1,Key Stage 1,Measurement,Ma1_3.1.e,"Recognise and use language relating to dates, including days of the week, weeks, months and years"
6ebf9212-a9e4-4b99-ad65-7cf0d75fc407,1,Key Stage 1,Fractions,Ma1_2.4.a,"Recognise, find and name a half as 1 of 2 equal parts of an object, shape or quantity."
20429eaf-c797-4bd9-ac75-08e74d6826d3,1,Key Stage 1,Fractions,Ma1_2.4.b,"Recognise, find and name a quarter as 1 of 4 equal parts of an object, shape or quantity."
2db32cf4-0df9-4ade-a62c-ac33766e8719,1,Key Stage 1,Multiplication and Division,Ma1_2.3.a,"Solve one-step problems involving multiplication and division, by calculating the answer using concrete objects, pictorial representations and arrays with the support of the teacher."
1285aba7-db02-46e4-a9a9-e2c1a213c142,2,Key Stage 1,Addition and Subtraction,Ma2_2.2.a,"Solve problems with addition and subtraction:using concrete objects and pictorial representations, including those involving numbers, quantities and measures applying their increasing knowledge of mental and written methods. Use place value and number facts to solve problems."
01ae989a-43e0-4d01-a620-1a7e73038d6e,2,Key Stage 1,Addition and Subtraction,Ma2_2.2.d ,Show that addition of 2 numbers can be done in any order (commutative) and subtraction of one number from another cannot
a5673a5a-b6e4-4b3d-a81d-570b91af5285,2,Key Stage 1,Addition and Subtraction,Ma2_2.2e ,Recognise and use the inverse relationship between addition and subtraction and use this to check calculations and solve missing number problems.
707f5ece-f28b-4ee5-ac5f-c891b11d40e9,2,Key Stage 1,Addition and Subtraction,Ma2_2.2.b ,"Recall and use addition and subtraction facts to 20 fluently, and derive and use related facts up to 100"
cc378384-eb92-4234-9c41-cdfd9dc1ffbf,2,Key Stage 1,Number and Place Value,Ma2_2.1.c,"Identify, represent and estimate numbers using different representations, including the number line"
73b80bb6-2c19-4a0f-9fae-30b5106c9dc5,2,Key Stage 1,Number and Place Value,Ma2_2.1.e ,Read and write numbers to at least 100 in numerals and in words
3b0e6269-11d7-4327-91b1-9afeb5466c59,2,Key Stage 1,Number and Place Value,Ma2_2.1.b ,"Recognise the place value of each digit in a two-digit number (10s, 1s)"
77bc2868-1262-4413-9b88-7a15d0defffd,2,Key Stage 1,Number and Place Value,Ma2_2.1.d ,"Compare and order numbers from 0 up to 100; use <, > and = signs"
05dddd26-e07f-43dd-be4b-eb2ab8448ad5,2,Key Stage 1,Number and Place Value,Ma2_2.1.a ,"Count in steps of 2, 3, and 5 from 0, and in 10s from any number, forward and backward"
2fd19124-e38c-4f9a-b12c-5562003531bc,2,Key Stage 1,Addition and Subtraction,Ma2_2.2.c ,"Add and subtract numbers using concrete objects, pictorial representations, and mentally, including: a two-digit number and 1s, a two-digit number and 10s, 2 two-digit numbers, adding 3 one-digit numbers"
b18193bb-10ef-48ec-8b37-cd2e29592c82,2,Key Stage 1,Statistics,Ma2_4.1.b,Ask and answer simple questions by counting the number of objects in each category and sorting the categories by quantity.
c32e34d6-c89b-47f9-b5b2-75540b8fbe6f,2,Key Stage 1,Statistics,Ma2_4.1.c,Ask and answer questions about totalling and comparing categorical data.
fed2047d-49ab-4c5b-98ff-60375c4a5cad,2,Key Stage 1,Properties of Shapes,Ma2_3.2.a,"Identify and describe the properties of 2-D shapes, including the number of sides and line symmetry in a vertical line."
a90f2fbe-d0fd-41aa-8f18-b90f02fd9062,2,Key Stage 1,Properties of Shapes,Ma2_3.2.b,"Identify and describe the properties of 3-D shapes, including the number of edges, vertices and faces,"
06b2cbff-9def-49d6-8598-2d11d196755e,2,Key Stage 1,Properties of Shapes,Ma2_3.2.d,Compare and sort common 2-D and 3-D shapes and everyday objects.
1cc05869-b31d-4134-a851-ea917d0fcae4,2,Key Stage 1,Addition and Subtraction,Ma2_2.2.a ,"Solve problems with addition and subtraction:using concrete objects and pictorial representations, including those involving numbers, quantities and measures applying their increasing knowledge of mental and written methods."
1f1bb1b2-873a-443a-ab76-98c3d00404cb,2,Key Stage 1,Addition and Subtraction,Ma2_2.1.f,Use place value and number facts to solve problems.
c1ae2751-88f2-4b45-a156-2c9fde66e468,2,Key Stage 1,Addition and Subtraction,Ma2_2.2.b,"Recall and use addition and subtraction facts to 20 fluently, and derive and use related facts up to 100"
b433a8ad-f3df-4040-a39e-813a6d336600,2,Key Stage 1,Addition and Subtraction,Ma5_2.2.b,Add and subtract numbers mentally with increasingly large numbers
2c7dffc8-e08f-490a-8338-08dd2e441829,2,Key Stage 1,Position and Direction,Ma2_3.3.a ,Order and arrange combinations of mathematical objects in patterns and sequences
ec5bad75-f796-4490-a9b0-03cfa129347b,2,Key Stage 1,Measurement,Ma2_3.1.a ,"Choose and use appropriate standard units to estimate and measure length/height in any direction (m/cm); mass (kg/g); temperature (°C); capacity (litres/ml) to the nearest appropriate unit, using rulers, scales, thermometers and measuring vessels"
ea0de218-09b5-400b-b62e-1f0dfd18042f,2,Key Stage 1,Measurement,Ma2_3.1.b ,"Compare and order lengths, mass, volume/capacity and record the results using >, < and ="
6e3e89b6-2b0b-458f-a7fc-57c0f2e669a5,2,Key Stage 1,Measurement,Ma2_3.1.g,"Tell and write the time to five minutes, including quarter past/to the hour and draw the hands on a clock face to show these times."
e09684e6-525e-4b18-94a3-8098641699d6,2,Key Stage 1,Measurement,Ma2_3.1.f,Compare and sequence intervals of time
77df7733-126d-4e98-be8f-deedcbf25574,2,Key Stage 1,Measurement,Ma2_3.1.h,Know the number of minutes in an hour and the number of hours in a day
